apm,apm_variance,error_rate,action_gap_mean,apm_vs_baseline,replay_id,player_id,window_idx,match_pct,fatigue_score,fatigue_binary
681.0,3170.75,0.2401,0.088,0.1201,rep_00077,rep_00077_p0,4,0.435,0.0,0
737.5,393.1875,0.2366,0.0813,0.213,rep_00077,rep_00077_p0,5,0.544,0.0,0
727.0,241.25,0.216,0.082,0.1957,rep_00077,rep_00077_p0,6,0.653,0.0,0
633.0,3298.25,0.2678,0.0946,0.0411,rep_00077,rep_00077_p0,7,0.762,0.0115,0
675.0,107.25,0.2319,0.0888,0.1102,rep_00077,rep_00077_p0,8,0.871,0.0,0
74.5,3451.1875,0.953,0.7888,-0.5869,rep_00077,rep_00077_p8,0,0.0,0.5262,1
523.5,5917.6875,0.978,0.1106,1.903,rep_00077,rep_00077_p8,1,0.109,0.0039,0
544.0,3346.0,0.9577,0.1103,2.0166,rep_00077,rep_00077_p8,2,0.218,0.0,0
537.5,740.1875,0.9693,0.1112,1.9806,rep_00077,rep_00077_p8,3,0.326,0.0012,0
446.0,4980.0,0.9641,0.1336,1.4732,rep_00077,rep_00077_p8,4,0.435,0.0,0
432.0,4683.0,0.9618,0.1343,1.3956,rep_00077,rep_00077_p8,5,0.544,0.0,0
552.0,7182.5,0.971,0.1073,2.061,rep_00077,rep_00077_p8,6,0.653,0.0017,0
512.0,1625.0,0.9629,0.1171,1.8392,rep_00077,rep_00077_p8,7,0.762,0.0,0
631.5,12273.6875,0.9842,0.095,2.5018,rep_00077,rep_00077_p8,8,0.871,0.0058,0
453.5,4269.1875,0.0871,0.1312,-0.0247,rep_00083,rep_00083_p0,0,0.0,0.0784,0
569.0,2132.75,0.1283,0.1053,0.2237,rep_00083,rep_00083_p0,1,0.09,0.0574,0
613.5,897.6875,0.1972,0.0976,0.3194,rep_00083,rep_00083_p0,2,0.18,0.2493,0
569.0,584.25,0.1705,0.1053,0.2237,rep_00083,rep_00083_p0,3,0.271,0.1749,0
667.5,780.6875,0.1618,0.0893,0.4355,rep_00083,rep_00083_p0,4,0.361,0.1507,0
591.5,980.6875,0.2139,0.1003,0.272,rep_00083,rep_00083_p0,5,0.451,0.2958,0
590.5,148.6875,0.1693,0.1013,0.2699,rep_00083,rep_00083_p0,6,0.541,0.1716,0
546.0,1608.5,0.2106,0.1097,0.1742,rep_00083,rep_00083_p0,7,0.632,0.2866,0
522.0,1813.5,0.2519,0.1145,0.1226,rep_00083,rep_00083_p0,8,0.722,0.3,1
667.0,929.25,0.1717,0.0896,0.4344,rep_00083,rep_00083_p0,9,0.812,0.1783,0
709.0,4118.75,0.1657,0.0846,0.5247,rep_00083,rep_00083_p0,10,0.902,0.1616,0
316.5,477.1875,0.3712,0.1895,-0.1878,rep_00083,rep_00083_p1,0,0.0,0.2854,0
583.0,6864.75,0.2187,0.1024,0.4962,rep_00083,rep_00083_p1,1,0.09,0.0,0
681.5,1427.1875,0.2421,0.0881,0.7489,rep_00083,rep_00083_p1,2,0.18,0.0,0
668.5,1643.1875,0.1526,0.0898,0.7156,rep_00083,rep_00083_p1,3,0.271,0.0,0
706.5,1145.6875,0.1734,0.0848,0.8131,rep_00083,rep_00083_p1,4,0.361,0.0,0
697.0,142.25,0.1844,0.0861,0.7887,rep_00083,rep_00083_p1,5,0.451,0.0,0
645.0,799.25,0.2039,0.093,0.6553,rep_00083,rep_00083_p1,6,0.541,0.0,0
780.0,1445.5,0.2006,0.0769,1.0017,rep_00083,rep_00083_p1,7,0.632,0.0,0
711.5,303.1875,0.1855,0.0843,0.8259,rep_00083,rep_00083_p1,8,0.722,0.0,0
720.5,1127.1875,0.1228,0.0832,0.849,rep_00083,rep_00083_p1,9,0.812,0.0,0
639.5,633.6875,0.1837,0.0937,0.6411,rep_00083,rep_00083_p1,10,0.902,0.0,0
418.5,696.6875,0.2616,0.1435,0.0249,rep_00091,rep_00091_p0,0,0.0,0.0,0
350.5,455.6875,0.2924,0.1707,-0.1416,rep_00091,rep_00091_p0,1,0.131,0.0782,0
381.0,433.25,0.2428,0.1567,-0.0669,rep_00091,rep_00091_p0,2,0.262,0.0046,0
456.0,1550.5,0.2511,0.1313,0.1167,rep_00091,rep_00091_p0,3,0.394,0.0,0
399.0,316.25,0.2619,0.1497,-0.0229,rep_00091,rep_00091_p0,4,0.525,0.0,0
496.0,1038.0,0.2409,0.1208,0.2147,rep_00091,rep_00091_p0,5,0.656,0.0,0
409.0,919.25,0.28,0.1466,0.0016,rep_00091,rep_00091_p0,6,0.787,0.0032,0
521.5,1433.1875,0.4449,0.1151,0.0212,rep_00091,rep_00091_p4,0,0.0,0.0198,0
463.0,1125.25,0.3898,0.1295,-0.0933,rep_00091,rep_00091_p4,1,0.131,0.0415,0
472.0,1325.0,0.2436,0.127,-0.0757,rep_00091,rep_00091_p4,2,0.262,0.0283,0
451.5,620.1875,0.2514,0.1328,-0.1159,rep_00091,rep_00091_p4,3,0.394,0.0586,0
479.0,877.25,0.3017,0.1252,-0.062,rep_00091,rep_00091_p4,4,0.525,0.0182,0
565.0,568.75,0.3673,0.1062,0.1064,rep_00091,rep_00091_p4,5,0.656,0.0,0
525.0,295.25,0.3019,0.1144,0.0281,rep_00091,rep_00091_p4,6,0.787,0.0,0
435.0,338.75,0.2356,0.138,0.0407,rep_00092,rep_00092_p0,0,0.0,0.0608,0
481.5,3021.6875,0.1994,0.1243,0.1519,rep_00092,rep_00092_p0,1,0.121,0.0,0
732.5,281.1875,0.1276,0.0817,0.7524,rep_00092,rep_00092_p0,2,0.242,0.0,0
704.5,795.6875,0.1618,0.0851,0.6854,rep_00092,rep_00092_p0,3,0.364,0.0,0
