match_id,player_id,window_idx,attn_weight,label,rel_position,apm,apm_variance,action_gap_mean,error_rate,pos_bin
rep_00695,rep_00695_p3,2,0.1136086955666542,0,0.2857142857142857,-1.365739107131958,-0.2748385965824127,1.4139102697372437,-0.3050777018070221,2.0
rep_00695,rep_00695_p3,3,0.13252034783363342,0,0.42857142857142855,-1.355501651763916,-0.2121361494064331,1.3998442888259888,-0.20699691772460938,4.0
rep_00695,rep_00695_p3,4,0.1601504534482956,0,0.5714285714285714,-1.440813660621643,-0.36385807394981384,1.5405043363571167,-0.500360906124115,5.0
rep_00695,rep_00695_p3,5,0.1493888646364212,0,0.7142857142857143,-1.2121773958206177,-0.3428218364715576,1.1522825956344604,-0.17713353037834167,7.0
rep_00695,rep_00695_p3,6,0.14150874316692352,0,0.8571428571428571,-1.2258272171020508,-0.36402249336242676,1.1635353565216064,-0.3732950687408447,8.0
rep_00695,rep_00695_p3,7,0.13030719757080078,0,1.0,-1.648975133895874,-0.37926527857780457,1.903407335281372,-0.546912670135498,9.0
rep_00707,rep_00707_p4,0,0.012695763260126114,0,0.0,-2.0277607440948486,-0.3835112154483795,3.045567035675049,1.5224452018737793,
rep_00707,rep_00707_p4,1,0.02045840583741665,0,0.09090909090909091,-1.7615870237350464,-0.39306697249412537,2.2634971141815186,1.5385479927062988,0.0
rep_00707,rep_00707_p4,2,0.033725615590810776,0,0.18181818181818182,-1.7172248363494873,0.27238360047340393,2.156595468521118,1.5385479927062988,1.0
rep_00707,rep_00707_p4,3,0.06558115780353546,0,0.2727272727272727,-0.41706886887550354,0.28276145458221436,0.1732885241508484,1.5385479927062988,2.0
rep_00707,rep_00707_p4,4,0.08322100341320038,0,0.36363636363636365,-0.8811665177345276,-0.2779722511768341,0.6796647310256958,1.5385479927062988,3.0
rep_00707,rep_00707_p4,5,0.1034797728061676,0,0.45454545454545453,-0.2054949253797531,-0.13958778977394104,-0.02082236483693123,1.5385479927062988,4.0
rep_00707,rep_00707_p4,6,0.09548685699701309,0,0.5454545454545454,-1.3793890476226807,0.2743663191795349,1.3182613849639893,1.5385479927062988,5.0
rep_00707,rep_00707_p4,7,0.10475481301546097,0,0.6363636363636364,-0.659355103969574,-0.04523913562297821,0.4067842364311218,1.5385479927062988,6.0
rep_00707,rep_00707_p4,8,0.11776266247034073,0,0.7272727272727273,-0.3897689878940582,0.42048823833465576,0.07482647895812988,1.5385479927062988,7.0
rep_00707,rep_00707_p4,9,0.12159347534179688,0,0.8181818181818182,-0.8402166962623596,0.1793116182088852,0.39553141593933105,1.5385479927062988,8.0
rep_00707,rep_00707_p4,10,0.10799508541822433,0,0.9090909090909091,-1.232652187347412,0.09790387749671936,1.1804145574569702,1.5385479927062988,9.0
rep_00707,rep_00707_p4,11,0.1332453489303589,0,1.0,0.3097899854183197,0.08335744589567184,-0.41185733675956726,1.5385479927062988,9.0
rep_00722,rep_00722_p2,0,0.5256611108779907,0,0.0,-0.6320552825927734,-0.2464904636144638,0.38709181547164917,-0.7761581540107727,
rep_00722,rep_00722_p2,1,0.3260509967803955,0,0.14285714285714285,-0.47508105635643005,-0.27805930376052856,0.22673934698104858,-0.862820565700531,1.0
rep_00722,rep_00722_p2,2,0.048736315220594406,0,0.2857142857142857,-1.0449656248092651,-0.3597572147846222,0.865336000919342,-0.7609336972236633,2.0
